alt,XM,ZXN_HPC,FN,FG,SFC,FNqW2,WF,WF_total,St2_W,St2_T,St2_Ts,St2_P,St3_W,St3_T,St3_Ts,St3_P,St5_W,St5_T,St5_Ts,St5_P
3609.4,0.22422,0.78438,1.0396,1.3498,32.232,245.12,0.033509,0.033509,4.2412,267.36,259.15,67.155,4.2412,436.36,430.76,290.33,4.2747,573.33,561.21,88.948
609.38,0.57422,0.98438,3.2905,5.1595,30.43,341.64,0.10013,0.10013,9.6313,302.94,280.93,117.81,9.6313,551.95,545.2,752.2,9.7315,720.69,700.78,198.26
421.88,0.24609,0.64687,0.43984,0.73543,68.361,124.02,0.030068,0.030068,3.5465,288.87,286.19,100.51,3.5465,401.94,397.32,246.14,3.5766,605.32,599.52,109.04
3421.9,0.59609,0.84688,1.1153,2.2422,36.55,192.89,0.040765,0.040765,5.7822,284.84,273.33,84.477,5.7822,476.42,469.88,401.17,5.823,567.09,551.65,108.02
4921.9,0.071094,0.74687,0.8817,0.95641,30.687,269.22,0.027057,0.027057,3.2751,256.42,249.82,54.78,3.2751,411.46,406.34,220.85,3.3021,561.55,550.94,71.493
1921.9,0.42109,0.94688,2.5109,3.5653,28.695,333.8,0.072051,0.072051,7.5222,285.45,265.69,90.684,7.5222,518.27,511.88,567.44,7.5943,670.91,651.97,149.34
2671.9,0.15859,0.89687,2.1646,2.4791,25.183,360.2,0.054512,0.054512,6.0095,272.15,255.97,74.379,6.0095,486.43,480.33,439.3,6.064,635.28,618.42,119.16
5671.9,0.50859,0.69688,0.2698,0.73783,71.482,93.187,0.019286,0.019286,2.8953,264.31,259.77,58.874,2.8953,394.12,388.7,183.57,2.9146,495.51,486.94,62.266
4171.9,0.33359,0.99687,2.7037,3.3738,26.58,436.01,0.071866,0.071866,6.2011,266.85,239.59,65.101,6.2011,520.45,514.52,486.28,6.273,728.94,708.84,128.57
1171.9,0.68359,0.79688,0.58872,2.0678,60.565,91.366,0.035656,0.035656,6.4435,306.76,299.26,120.33,6.4435,471.64,464.65,429.14,6.4792,528.82,516.7,125.14
796.88,0.027344,0.97188,3.7129,3.7871,22.666,461.73,0.084158,0.084158,8.0414,283.01,260.12,92.159,8.0414,525.81,519.53,619.9,8.1255,703.62,684.11,164.54
3796.9,0.37734,0.77187,0.77328,1.2857,39.153,185.33,0.030277,0.030277,4.1724,270.99,263.57,69.828,4.1724,432.8,427.06,280.31,4.2027,550.45,538.95,86.178
5296.9,0.20234,0.87187,1.5208,1.8089,25.834,341.14,0.039289,0.039289,4.4581,255.8,240.53,53.415,4.4581,459.9,454.17,317.9,4.4974,602.4,585.91,85.608
2296.9,0.55234,0.67188,0.15218,0.83851,143.92,40.585,0.021901,0.021901,3.7496,289.92,286.44,94.259,3.7496,405.6,399.97,238.69,3.7715,506.39,499.65,91.179
1546.9,0.28984,0.72188,0.6713,1.077,47.976,160.36,0.032206,0.032206,4.1863,282.78,278.05,89.12,4.1863,423.5,418.12,283.74,4.2185,577.79,569.12,102.88
4546.9,0.63984,0.92188,1.8004,3.0711,30.644,292.31,0.055172,0.055172,6.1593,279.81,262.02,75.573,6.1593,502.72,496.36,454.15,6.2145,639.36,621.16,118.93
3046.9,0.11484,0.62187,0.40659,0.50092,59.203,162.57,0.024071,0.024071,2.501,269.05,266.7,70.337,2.501,376.23,372.13,172.75,2.525,596.3,590.77,78.323
46.875,0.46484,0.82188,1.2172,2.3032,40.422,177.19,0.049201,0.049201,6.8693,300.3,291.37,116.85,6.8693,480.34,473.77,479.24,6.9185,588.61,575.38,142.06
70.313,0.23242,0.71719,0.7787,1.1413,47.355,169.73,0.036876,0.036876,4.5879,290.81,286.46,104.33,4.5879,429.32,423.98,316.33,4.6247,602.74,594.58,120.33
3070.3,0.58242,0.91719,1.9019,3.2146,31.25,277.05,0.059432,0.059432,6.8648,286.42,269.55,87.435,6.8648,507.37,500.91,504.68,6.9242,635.16,617.1,132.19
4570.3,0.057422,0.61719,0.38693,0.4261,56.375,182.85,0.021813,0.021813,2.1161,258.61,256.26,57.327,2.1161,365.07,361.12,144.45,2.1379,581.85,576.29,64.541
